,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
389,preobrazheniye,0,RU,1580593492,66,42.9,133.91,13.96,7.43
390,bima,100,ID,1580593493,95,-8.47,118.72,72.34,0.81
391,chapais,90,CA,1580593494,92,49.78,-74.85,21.2,9.17
392,sikasso,24,ML,1580593495,12,10.92,-7.0,77.5,3.13
393,lanzhou,99,CN,1580593497,61,36.06,103.79,19.99,4.47
394,tautira,75,PF,1580593500,94,-17.73,-149.15,77.0,25.28
395,tamiahua,100,MX,1580593501,70,21.27,-97.45,65.52,14.94
396,bojnurd,90,IR,1580593503,97,37.47,57.33,37.4,7.23
397,ocos,40,GT,1580593504,59,14.51,-92.19,89.6,9.17
398,maldonado,20,UY,1580593505,54,-34.67,-54.92,78.8,11.41
399,kirensk,97,RU,1580593506,98,57.79,108.11,-16.33,1.5
400,lukulu,38,ZM,1580593507,94,-14.37,23.24,66.07,4.94
401,bumba,60,CD,1580593510,56,2.18,22.47,76.6,2.06
402,genhe,63,CN,1580593511,99,50.78,121.52,-15.83,3.87
403,clinton,90,US,1580593513,96,42.59,-82.92,34.0,5.82
404,hornepayne,99,CA,1580593514,89,49.21,-84.77,29.05,9.48
405,huangmei,100,CN,1580593515,59,30.19,116.03,49.77,6.35
406,cacaotepec,90,MX,1580593516,31,17.13,-96.8,75.2,5.82
407,saint-junien,90,FR,1580593518,100,45.88,0.9,54.0,10.29
408,gemena,22,CD,1580593519,35,3.25,19.77,72.52,2.73
409,olinda,40,BR,1580593520,79,-8.01,-34.86,84.2,5.82
410,karratha,3,AU,1580593522,77,-20.74,116.85,79.79,15.5
411,maniitsoq,100,GL,1580593523,73,65.42,-52.9,11.35,3.11
412,quincy,90,US,1580593492,86,42.25,-71.0,39.99,2.44
413,champasak,0,LA,1580593525,75,14.75,106.0,61.86,1.86
414,hammerfest,100,NO,1580593526,67,70.66,23.68,19.4,32.21
415,kedougou,9,SN,1580593527,27,12.56,-12.17,87.8,4.7
416,korla,0,CN,1580593530,76,41.76,86.15,12.69,6.31
417,emerald,0,AU,1580593532,88,-23.53,148.17,77.0,6.93
418,muros,90,ES,1580593533,100,42.78,-9.06,61.0,13.87
419,petropavlovsk-kamchatskiy,0,RU,1580593536,45,53.05,158.65,3.2,4.47
420,lebedinyy,100,RU,1580593537,99,58.52,125.52,-18.51,5.82
421,mayumba,100,GA,1580593538,71,-3.43,10.66,83.39,4.68
422,iskateley,99,RU,1580593539,97,67.68,53.15,-2.0,4.9
423,ilulissat,100,GL,1580593540,65,69.22,-51.1,6.8,8.05
424,geraldton,16,AU,1580593542,52,-28.77,114.6,66.2,14.99
425,pringsewu,100,ID,1580593543,97,-5.36,104.97,71.51,3.78
426,udayagiri,4,IN,1580593544,91,20.13,84.38,64.51,2.17
427,keetmanshoop,73,NA,1580593545,25,-26.58,18.13,87.8,1.12
428,padang,100,ID,1580593316,93,-0.95,100.35,68.65,6.49
429,mackay,75,AU,1580593549,88,-21.15,149.2,77.0,5.82
430,kem,99,RU,1580593550,96,64.96,34.58,-1.32,10.42
431,matadi,97,CD,1580593552,91,-5.82,13.45,76.24,2.66
432,mirnyy,0,RU,1580593553,65,62.54,113.96,-34.6,2.24
433,magadan,0,RU,1580593365,71,59.57,150.8,-3.3,11.56
434,ambilobe,95,MG,1580593556,85,-13.2,49.05,75.85,2.48
435,buraydah,0,SA,1580593558,45,26.33,43.98,44.6,4.94
436,colesberg,36,ZA,1580593559,38,-30.72,25.1,80.1,4.0
437,gurun,40,MY,1580593561,83,5.82,100.47,80.6,7.52
438,raudeberg,73,NO,1580593563,93,61.99,5.14,37.99,3.36
439,kurilsk,92,RU,1580593564,86,45.23,147.88,22.68,10.63
440,yuanping,91,CN,1580593565,93,38.72,112.76,22.84,2.3
441,ende,100,ID,1580593567,74,-8.84,121.66,82.98,6.46
442,inirida,98,CO,1580593570,62,3.87,-67.92,89.06,2.44
443,resistencia,0,AR,1580593335,45,-27.46,-58.98,89.01,8.05
444,mezhova,47,UA,1580593572,94,48.25,36.73,33.22,5.91
445,siparia,20,TT,1580593574,74,10.13,-61.5,82.4,12.75
446,srandakan,100,ID,1580593576,94,-7.94,110.25,73.99,4.59
447,mandalgovi,0,MN,1580593577,78,45.76,106.27,-8.43,8.88
448,trelleborg,75,SE,1580593580,87,55.38,13.16,46.4,19.46
449,aloleng,86,PH,1580593582,81,16.13,119.78,66.33,6.29
450,maragogi,100,BR,1580593583,80,-9.01,-35.22,81.88,12.75
451,timra,100,SE,1580593584,94,62.49,17.33,33.01,1.12
452,yuxia,100,CN,1580593585,69,34.06,108.63,45.0,6.71
453,buy,100,RU,1580593586,95,58.48,41.53,25.75,7.67
454,harrisburg,90,US,1580593587,75,40.27,-76.88,42.01,4.7
455,batagay,71,RU,1580593590,95,67.63,134.63,-24.03,1.74
456,teguldet,95,RU,1580593591,98,57.31,88.17,-3.28,3.96
457,salinopolis,68,BR,1580593592,78,-0.61,-47.36,81.27,15.77
458,strizhi,99,RU,1580593593,96,58.46,49.29,15.64,4.76
459,bilhaur,0,IN,1580593596,68,26.85,80.08,50.4,5.39
